고객명,성별,나이,직업,거주지,선호채널,연락처,결혼여부,자녀유무,거주 주택유형,주택 소유 여부,차량 보유 여부,차량명,연식,마케팅 활용 동의 여부,보험계약 변경 여부,보험계약 해지 여부,대출 여부,보험금 청구 유무,기타 상담 내용,자동차 보험 가입 여부,대물 보장금액,대인 보장금액,운행거리할인 특약 가입여부,생명보험 가입상품,총 납입보험료,보험계약 유지기간,대출 건수,대출 금액,대출상품,캠페인/동의정보,디지털접촉횟수,조회 정보,관심 이벤트,제공 정보
강태윤,남성,55,물리치료사,대전,이메일,010-4444-3224,미혼,아니오,아파트,예,아니오,,,예,아니오,예,아니오,아니오,기타,아니오,0,0,아니오,암보험,1787619,8,3,9042107,,아니오,37,15,결제 기한,SMS
장하은,여성,44,요리사,서울,이메일,010-2668-3029,결혼,아니오,주택,예,아니오,,,아니오,아니오,예,아니오,아니오,보장 내용 문의,아니오,0,0,아니오,정기상품,3037442,20,3,6559036,신용대출,아니오,28,7,할인 혜택,SMS
최시현,여성,70,물리치료사,성남,대면,010-9481-2068,결혼,예,아파트,아니오,아니오,,,아니오,아니오,예,아니오,예,보험료 문의,아니오,0,0,아니오,종신상품,2552625,18,1,1193918,,아니오,19,6,정책 알림,SMS
김다원,여성,54,연구원,대전,대면,010-4159-6050,미혼,아니오,빌라,아니오,예,포드,2008,예,예,아니오,아니오,예,보장 내용 문의,예,823978566,무한,예,암보험,4063486,2,2,6697127,보험계약대출,예,25,16,신제품 출시,이메일
정지환,남성,53,프로그램 개발자,인천,전화,010-8155-1480,결혼,예,빌라,예,아니오,,,예,예,예,아니오,예,보험료 문의,아니오,0,0,아니오,정기상품,1442011,3,3,3843556,신용대출,아니오,9,3,결제 기한,SMS
이수민,여성,66,번역가,부산,온라인,010-7808-8334,미혼,아니오,주택,아니오,예,BMW,2020,아니오,예,아니오,아니오,예,기타,예,155977256,무한,예,암보험,4492600,5,1,5133041,보험계약대출,예,22,6,정책 알림,전화
최지윤,여성,55,소프트웨어 엔지니어,광주,전화,010-4195-9348,결혼,예,연립주택,예,예,포드,2016,예,예,아니오,예,아니오,기타,예,301125017,무한,예,정기상품,1786881,11,3,2967212,담보대출,아니오,17,20,할인 혜택,앱 알림
박하온,여성,50,교사,광주,전화,010-6516-9837,미혼,아니오,연립주택,아니오,아니오,,,예,예,예,아니오,아니오,해지 문의,아니오,0,0,아니오,암보험,485559,2,3,4880497,,예,32,6,신제품 출시,전화
강민경,여성,21,작가,인천,대면,010-8240-5222,미혼,아니오,오피스텔,예,아니오,,,아니오,예,아니오,예,아니오,기타,아니오,0,0,아니오,연금상품,2704222,12,0,6037048,담보대출,아니오,21,4,정책 알림,전화
윤예진,여성,64,연구원,대전,전화,010-7710-6648,결혼,아니오,연립주택,예,아니오,,,아니오,아니오,예,예,아니오,기타,아니오,0,0,아니오,정기상품,2305735,6,3,6257836,담보대출,아니오,26,0,할인 혜택,앱 알림
최다인,여성,68,엔지니어,창원,전화,010-2168-9485,결혼,예,빌라,아니오,예,포드,2019,예,아니오,아니오,예,예,보험료 문의,예,612217785,무한,예,종신상품,2713041,15,1,8458173,담보대출,예,23,0,결제 기한,앱 알림
장경수,남성,64,변호사,인천,전화,010-2025-3807,미혼,아니오,연립주택,아니오,아니오,,,아니오,아니오,예,예,예,해지 문의,아니오,0,0,아니오,정기상품,1306631,19,1,5622684,보험계약대출,아니오,20,16,결제 기한,전화
박건우,남성,54,기자,대전,이메일,010-5939-3249,미혼,아니오,연립주택,아니오,예,아우디,2001,아니오,아니오,아니오,아니오,예,해지 문의,예,844633211,무한,아니오,정기상품,2578784,14,2,8727285,,아니오,40,13,결제 기한,전화
정민재,남성,60,소프트웨어 엔지니어,울산,이메일,010-3240-9607,미혼,아니오,빌라,아니오,예,그랜저,2018,예,아니오,아니오,예,예,보험료 문의,예,979799314,무한,예,연금상품,2857309,14,3,9609595,보험계약대출,아니오,50,20,신제품 출시,앱 알림
강태현,남성,35,방송인,대구,이메일,010-7173-6389,미혼,아니오,주택,아니오,예,벤츠,2022,아니오,아니오,아니오,예,아니오,해지 문의,예,518841243,무한,아니오,암보험,2880167,19,2,0,,아니오,43,4,결제 기한,SMS
이지훈,남성,44,바리스타,광주,이메일,010-4704-6464,결혼,아니오,주택,예,아니오,,,예,아니오,예,아니오,아니오,보장 내용 문의,아니오,0,0,아니오,정기상품,4322943,10,1,3869567,보험계약대출,예,0,15,결제 기한,SMS
조하늘,여성,50,간호사,부산,이메일,010-7382-8139,미혼,아니오,아파트,아니오,예,K5,2020,아니오,아니오,아니오,아니오,예,보장 내용 문의,예,556526358,무한,아니오,종신상품,2336468,1,3,3402917,,예,14,14,결제 기한,이메일
조가온,여성,56,디자이너,수원,전화,010-3620-4703,미혼,아니오,주택,예,아니오,,,아니오,아니오,예,아니오,아니오,해지 문의,아니오,0,0,아니오,암보험,3850040,19,3,3451360,,아니오,16,12,신제품 출시,앱 알림
최성훈,여성,57,운동선수,수원,온라인,010-6097-3729,미혼,아니오,오피스텔,예,예,벤츠,2008,아니오,아니오,아니오,아니오,아니오,보장 내용 문의,예,725096366,무한,예,정기상품,1132094,12,1,5473063,신용대출,예,42,10,결제 기한,앱 알림
정윤서,여성,65,예술가,울산,온라인,010-2169-3921,미혼,아니오,아파트,예,예,BMW,2000,예,아니오,아니오,예,아니오,기타,예,827707001,무한,아니오,암보험,3876820,5,0,5563873,보험계약대출,예,28,16,결제 기한,SMS
유재석,남성,53,예술가,창원,대면,010-1150-5388,결혼,예,주택,예,아니오,,,아니오,예,아니오,예,예,보장 내용 문의,아니오,0,0,아니오,정기상품,1382609,19,1,6317046,보험계약대출,아니오,38,4,할인 혜택,앱 알림
최동현,여성,20,회계사,창원,전화,010-1092-3951,결혼,아니오,오피스텔,아니오,예,아반떼,2012,아니오,예,아니오,아니오,예,해지 문의,예,805940377,무한,아니오,연금상품,2389315,16,1,0,,예,17,15,신제품 출시,앱 알림
이현우,남성,69,번역가,성남,온라인,010-9765-3556,결혼,아니오,빌라,예,아니오,,,예,예,아니오,예,예,계약 변경 요청,아니오,0,0,아니오,연금상품,2063418,9,0,0,담보대출,예,3,1,결제 기한,앱 알림
정태린,여성,56,작가,수원,대면,010-7156-8418,결혼,예,아파트,아니오,예,스포티지,2010,아니오,아니오,아니오,예,아니오,보장 내용 문의,예,702033948,무한,예,종신상품,1442024,10,3,6289751,보험계약대출,예,38,14,결제 기한,전화
김태린,여성,59,회계사,수원,대면,010-2518-8305,미혼,아니오,빌라,아니오,아니오,,,예,아니오,예,아니오,예,해지 문의,아니오,0,0,아니오,종신상품,1276326,15,1,1353205,신용대출,아니오,36,4,할인 혜택,SMS
김민석,여성,59,연구원,창원,온라인,010-9629-9516,미혼,아니오,빌라,예,예,포드,2000,예,아니오,아니오,아니오,아니오,보험료 문의,예,189243604,무한,아니오,암보험,3566773,15,1,0,담보대출,아니오,30,1,신제품 출시,SMS
박은우,여성,66,기자,대전,대면,010-4725-1598,결혼,아니오,빌라,아니오,예,BMW,2015,아니오,예,예,예,예,계약 변경 요청,예,409829655,무한,아니오,종신상품,4912758,9,2,7596851,담보대출,아니오,15,8,할인 혜택,이메일
윤예솔,여성,38,회계사,서울,전화,010-7572-7663,미혼,아니오,연립주택,아니오,아니오,,,아니오,예,아니오,아니오,예,계약 변경 요청,아니오,0,0,아니오,정기상품,1851906,9,0,0,보험계약대출,예,38,4,정책 알림,앱 알림
윤하온,여성,64,소프트웨어 엔지니어,인천,대면,010-3206-8590,미혼,아니오,주택,아니오,예,벤츠,2012,아니오,아니오,예,아니오,아니오,계약 변경 요청,예,880289596,무한,아니오,암보험,108790,18,3,9987039,신용대출,아니오,47,13,할인 혜택,SMS
장하준,남성,45,사진작가,대구,이메일,010-1400-9355,결혼,예,연립주택,예,아니오,,,아니오,예,예,아니오,아니오,보험료 문의,아니오,0,0,아니오,정기상품,1824685,16,1,4693501,,예,49,5,결제 기한,전화
임지환,남성,49,엔지니어,대구,온라인,010-3744-7048,미혼,아니오,연립주택,아니오,아니오,,,예,예,예,아니오,아니오,해지 문의,아니오,0,0,아니오,정기상품,4517203,16,1,1839187,,아니오,18,8,신제품 출시,SMS
윤동현,여성,47,마케터,성남,대면,010-8364-8244,미혼,아니오,주택,예,예,포드,2017,아니오,예,예,예,예,보험료 문의,예,574569661,무한,아니오,종신상품,2527813,19,3,1435239,,아니오,32,15,신제품 출시,이메일
박지영,여성,46,작가,서울,이메일,010-6122-2284,결혼,아니오,오피스텔,아니오,아니오,,,아니오,아니오,예,예,예,기타,아니오,0,0,아니오,연금상품,4008080,6,1,4191835,담보대출,아니오,25,14,정책 알림,이메일
임예솔,여성,41,간호사,광주,이메일,010-5718-8957,결혼,예,아파트,아니오,예,벤츠,2000,예,아니오,아니오,예,아니오,보장 내용 문의,예,938928246,무한,예,종신상품,4290497,20,0,0,담보대출,아니오,13,5,결제 기한,SMS
장도연,여성,30,방송인,성남,온라인,010-1633-2946,미혼,아니오,아파트,아니오,예,벤츠,2019,예,아니오,예,예,예,,아니오,200647108,무한,아니오,,1846278,7,1,1704191,보험계약대출,아니오,20,1,신제품 출시,앱 알림
김민아,여성,56,소프트웨어 엔지니어,성남,전화,010-4118-8829,미혼,아니오,아파트,예,예,벤츠,2022,예,예,예,아니오,아니오,보험료 문의,예,111432151,무한,예,정기상품,3901038,20,2,8839733,보험계약대출,아니오,9,12,신제품 출시,SMS
강서율,여성,43,작가,울산,대면,010-8735-7373,미혼,아니오,아파트,아니오,아니오,,,예,아니오,예,예,예,보장 내용 문의,아니오,0,0,아니오,연금상품,3177730,17,3,0,신용대출,예,45,15,결제 기한,전화
임수아,여성,54,예술가,울산,이메일,010-1134-3461,미혼,아니오,오피스텔,아니오,예,포드,2011,아니오,아니오,예,아니오,아니오,해지 문의,예,584073388,무한,예,종신상품,4893488,3,1,1625741,보험계약대출,아니오,49,6,정책 알림,전화
이가온,여성,37,교사,창원,전화,010-1519-1712,미혼,아니오,오피스텔,아니오,예,쏘나타,2017,아니오,아니오,아니오,예,아니오,해지 문의,예,564338401,무한,아니오,정기상품,4597740,9,0,3787691,신용대출,아니오,47,7,신제품 출시,이메일
조유정,여성,21,교사,대구,온라인,010-4783-6148,결혼,예,오피스텔,예,예,벤츠,2022,예,예,예,아니오,아니오,보험료 문의,예,829900465,무한,예,종신상품,2980432,20,1,6089771,,예,12,6,정책 알림,앱 알림
최다현,여성,42,소프트웨어 엔지니어,부산,온라인,010-9082-1455,결혼,아니오,빌라,아니오,아니오,,,예,예,아니오,예,예,계약 변경 요청,아니오,0,0,아니오,암보험,226841,16,3,0,신용대출,예,38,10,신제품 출시,앱 알림
조하린,여성,50,엔지니어,수원,전화,010-5191-4937,결혼,아니오,주택,예,아니오,,,아니오,아니오,아니오,예,아니오,해지 문의,아니오,0,0,아니오,종신상품,2445280,16,0,379183,신용대출,아니오,3,10,할인 혜택,이메일
김현서,남성,37,마케터,서울,대면,010-8558-7121,미혼,아니오,빌라,아니오,예,K5,2008,아니오,예,예,예,예,계약 변경 요청,예,975474877,무한,아니오,종신상품,2378077,7,3,0,신용대출,예,34,8,결제 기한,전화
장가은,여성,46,엔지니어,창원,이메일,010-4329-9497,미혼,아니오,빌라,아니오,예,테슬라,2004,아니오,아니오,아니오,아니오,아니오,계약 변경 요청,예,262731952,무한,예,연금상품,3799138,13,3,3986019,담보대출,예,8,4,결제 기한,이메일
이유하,여성,51,연구원,인천,전화,010-6306-8717,결혼,예,오피스텔,예,아니오,,,예,예,아니오,예,아니오,계약 변경 요청,아니오,0,0,아니오,정기상품,3419823,4,0,70,보험계약대출,아니오,13,19,신제품 출시,앱 알림
박나현,여성,48,연구원,서울,이메일,010-3598-4812,결혼,아니오,아파트,예,예,BMW,2007,예,예,예,아니오,아니오,계약 변경 요청,예,374562226,무한,예,암보험,117624,14,0,655085,,아니오,9,0,신제품 출시,SMS
장지우,여성,53,요리사,서울,전화,010-5727-9684,결혼,아니오,아파트,아니오,예,그랜저,2005,예,예,아니오,예,아니오,보험료 문의,예,801192206,무한,아니오,암보험,4979131,1,0,0,,아니오,22,19,신제품 출시,앱 알림
이승환,여성,54,기자,수원,이메일,010-6161-9854,미혼,아니오,오피스텔,예,예,테슬라,2018,예,예,아니오,아니오,아니오,기타,예,942307987,무한,예,연금상품,1667605,6,0,0,,아니오,3,9,결제 기한,앱 알림
박유담,여성,56,마케터,울산,대면,010-6036-7401,미혼,아니오,주택,아니오,아니오,,,아니오,아니오,예,아니오,예,보험료 문의,아니오,0,0,아니오,암보험,2125841,1,1,0,,예,49,11,결제 기한,앱 알림
최주희,여성,47,예술가,대구,이메일,010-4364-8893,미혼,아니오,빌라,아니오,예,K5,2012,예,예,예,예,아니오,기타,예,791183315,무한,예,정기상품,4533462,12,3,5441623,담보대출,예,26,8,결제 기한,전화
임명수,남성,24,바리스타,수원,이메일,010-2753-1750,결혼,예,연립주택,예,아니오,,,아니오,아니오,아니오,예,아니오,해지 문의,아니오,0,0,아니오,정기상품,4921513,8,3,0,담보대출,아니오,41,7,정책 알림,SMS
박재희,여성,69,변호사,대전,대면,010-3866-8530,결혼,아니오,아파트,아니오,아니오,,,예,예,예,예,예,해지 문의,아니오,0,0,아니오,종신상품,3146460,1,2,0,보험계약대출,예,27,7,할인 혜택,앱 알림
강은지,여성,58,물리치료사,부산,이메일,010-6384-7631,미혼,아니오,연립주택,예,아니오,,,예,예,예,아니오,아니오,기타,아니오,0,0,아니오,종신상품,599676,11,0,8835736,,아니오,48,13,신제품 출시,SMS
강하진,여성,64,물리치료사,성남,대면,010-8786-5639,결혼,예,오피스텔,예,아니오,,,아니오,아니오,예,아니오,예,보장 내용 문의,아니오,0,0,아니오,정기상품,1434826,6,3,8844424,담보대출,아니오,21,8,신제품 출시,전화
윤연우,남성,23,디자이너,대전,전화,010-2850-9330,결혼,예,오피스텔,아니오,예,K5,2008,예,예,아니오,예,예,해지 문의,예,891767129,무한,아니오,종신상품,1423691,6,0,2975590,,아니오,42,6,결제 기한,전화
김하늘,여성,36,요리사,부산,대면,010-2267-1098,결혼,예,아파트,예,아니오,,,아니오,아니오,예,아니오,예,보험료 문의,아니오,0,0,아니오,종신상품,1822354,8,3,0,담보대출,예,17,3,결제 기한,이메일
임지훈,남성,59,예술가,서울,이메일,010-9617-6401,결혼,아니오,아파트,아니오,예,스포티지,2002,아니오,아니오,아니오,예,예,계약 변경 요청,예,367179207,무한,아니오,암보험,4274325,11,3,173022,담보대출,예,25,18,결제 기한,이메일
김다인,여성,67,교사,성남,온라인,010-9017-6229,결혼,아니오,연립주택,아니오,아니오,,,아니오,아니오,아니오,아니오,예,보험료 문의,아니오,0,0,아니오,정기상품,1842106,16,0,0,담보대출,아니오,10,13,정책 알림,앱 알림
박하린,여성,44,교사,성남,온라인,010-1049-7500,미혼,아니오,연립주택,아니오,예,아우디,2005,예,예,예,예,아니오,보장 내용 문의,예,591910138,무한,아니오,암보험,2770844,18,3,0,보험계약대출,예,0,4,정책 알림,이메일
정민재,남성,48,프로그램 개발자,서울,이메일,010-1281-6933,미혼,아니오,오피스텔,아니오,예,테슬라,2001,아니오,예,아니오,예,아니오,보험료 문의,예,470306566,무한,아니오,정기상품,2078273,20,2,0,보험계약대출,예,45,18,정책 알림,앱 알림
김지한,남성,35,방송인,대전,대면,010-5017-1818,미혼,아니오,아파트,아니오,아니오,,,예,예,아니오,아니오,예,계약 변경 요청,아니오,0,0,아니오,암보험,925052,17,2,8904213,보험계약대출,아니오,29,6,정책 알림,전화
김성훈,여성,55,변호사,인천,대면,010-1330-8544,결혼,예,빌라,아니오,아니오,,,예,예,예,아니오,예,기타,아니오,0,0,아니오,종신상품,4303855,2,2,9320955,,예,25,12,정책 알림,SMS
조서연,여성,59,의사,대전,온라인,010-5442-3074,결혼,예,빌라,예,아니오,,,예,예,예,예,아니오,기타,아니오,0,0,아니오,종신상품,901063,9,0,1268058,신용대출,아니오,48,10,정책 알림,이메일
윤하민,여성,36,바리스타,대구,온라인,010-3240-7659,결혼,아니오,아파트,아니오,아니오,,,아니오,아니오,예,아니오,아니오,보험료 문의,아니오,0,0,아니오,연금상품,710714,3,0,5898396,신용대출,예,12,14,결제 기한,SMS
김민지,여성,20,교사,성남,대면,010-7825-6720,결혼,예,주택,예,아니오,,,아니오,아니오,예,예,예,계약 변경 요청,아니오,0,0,아니오,종신상품,3709700,10,3,3216686,,예,49,16,신제품 출시,앱 알림
강서준,여성,61,프로그램 개발자,광주,전화,010-2815-2667,미혼,아니오,오피스텔,아니오,예,스포티지,2017,예,아니오,예,예,예,기타,예,949159619,무한,아니오,암보험,4023896,5,2,712479,,아니오,40,6,신제품 출시,SMS
윤지안,여성,43,의사,서울,전화,010-1441-2634,결혼,아니오,오피스텔,아니오,예,그랜저,2018,예,아니오,아니오,아니오,예,보험료 문의,예,796223882,무한,예,종신상품,845277,19,0,7624424,,아니오,4,19,신제품 출시,앱 알림
강승현,남성,58,회계사,서울,이메일,010-4984-4327,미혼,아니오,연립주택,예,예,벤츠,2017,예,아니오,아니오,아니오,예,기타,예,253193215,무한,예,종신상품,204395,18,0,5361145,신용대출,아니오,25,18,할인 혜택,전화
조하린,여성,48,연구원,대구,온라인,010-2568-9851,결혼,아니오,연립주택,예,예,테슬라,2002,아니오,예,예,아니오,예,해지 문의,예,439494712,무한,예,정기상품,3647571,10,1,8955508,담보대출,아니오,45,18,할인 혜택,전화
장하준,남성,39,디자이너,울산,전화,010-7492-4734,결혼,예,연립주택,아니오,아니오,,,예,아니오,아니오,예,아니오,계약 변경 요청,아니오,0,0,아니오,종신상품,4591389,10,0,0,,예,3,9,정책 알림,전화
정경수,남성,56,간호사,대구,대면,010-1189-2783,미혼,아니오,연립주택,예,아니오,,,예,예,예,예,예,계약 변경 요청,아니오,0,0,아니오,암보험,3824200,3,0,0,담보대출,아니오,37,16,할인 혜택,이메일
이지한,남성,57,연구원,수원,이메일,010-9240-2548,미혼,아니오,빌라,예,예,쏘나타,2019,아니오,아니오,아니오,아니오,아니오,계약 변경 요청,예,569571346,무한,아니오,종신상품,2486798,1,3,6197754,신용대출,아니오,42,10,정책 알림,앱 알림
박유경,여성,42,사진작가,수원,온라인,010-7414-4228,미혼,아니오,오피스텔,아니오,예,테슬라,2001,예,아니오,아니오,예,예,계약 변경 요청,예,585263963,무한,예,종신상품,1619407,14,2,6878114,보험계약대출,아니오,15,6,정책 알림,이메일
임유리,여성,36,요리사,창원,온라인,010-8561-4515,결혼,예,아파트,아니오,예,BMW,2019,아니오,아니오,아니오,예,예,보장 내용 문의,예,207703213,무한,예,정기상품,1269120,3,2,3108134,보험계약대출,예,4,19,할인 혜택,앱 알림
김하연,여성,26,엔지니어,대전,대면,010-7183-6957,미혼,아니오,빌라,예,아니오,,,아니오,아니오,예,예,예,계약 변경 요청,아니오,0,0,아니오,연금상품,4549352,1,3,6245547,보험계약대출,아니오,10,6,결제 기한,앱 알림
윤승현,남성,65,디자이너,창원,이메일,010-5834-2213,미혼,아니오,연립주택,아니오,아니오,,,아니오,예,예,아니오,아니오,기타,아니오,0,0,아니오,암보험,4650888,13,1,6221987,담보대출,예,40,15,정책 알림,SMS
최준서,남성,22,번역가,부산,전화,010-4340-9812,미혼,아니오,아파트,아니오,아니오,,,아니오,예,예,예,예,해지 문의,아니오,0,0,아니오,종신상품,1419900,13,0,0,,아니오,2,12,정책 알림,이메일
장성훈,여성,27,연구원,광주,대면,010-3027-3845,미혼,아니오,주택,예,아니오,,,아니오,아니오,아니오,예,예,해지 문의,아니오,0,0,아니오,연금상품,1154865,12,3,2565084,신용대출,아니오,2,18,신제품 출시,SMS
이승현,남성,47,마케터,수원,이메일,010-7544-6563,미혼,아니오,오피스텔,예,아니오,,,예,아니오,아니오,아니오,예,계약 변경 요청,아니오,0,0,아니오,암보험,1598449,17,3,8916808,담보대출,아니오,8,5,신제품 출시,앱 알림
이영희,여성,49,운동선수,대전,온라인,010-7513-7734,미혼,아니오,아파트,아니오,예,스포티지,2017,아니오,아니오,아니오,예,아니오,보험료 문의,예,778793420,무한,예,연금상품,740972,14,0,2973889,신용대출,아니오,39,19,정책 알림,전화
최지영,여성,36,운동선수,부산,전화,010-2086-8141,결혼,아니오,빌라,예,아니오,,,예,아니오,아니오,예,예,보장 내용 문의,아니오,0,0,아니오,정기상품,1759686,7,0,4320938,보험계약대출,예,14,4,정책 알림,전화
정가온,여성,63,소프트웨어 엔지니어,성남,온라인,010-7385-4505,결혼,아니오,아파트,아니오,아니오,,,예,예,아니오,예,아니오,보험료 문의,아니오,0,0,아니오,종신상품,4237482,19,1,4306193,,예,28,11,신제품 출시,전화
조태린,여성,50,변호사,부산,온라인,010-5670-4723,미혼,아니오,오피스텔,예,예,그랜저,2006,아니오,예,예,예,예,보험료 문의,예,520707233,무한,예,종신상품,2814391,15,1,8378531,,아니오,24,14,결제 기한,앱 알림
장채원,여성,35,작가,창원,전화,010-8905-3056,결혼,아니오,오피스텔,아니오,아니오,,,아니오,예,예,아니오,예,기타,아니오,0,0,아니오,연금상품,4937066,17,3,9535572,,아니오,26,16,할인 혜택,이메일
윤다원,여성,51,소프트웨어 엔지니어,성남,전화,010-1843-2490,미혼,아니오,오피스텔,아니오,아니오,,,아니오,아니오,아니오,예,아니오,보장 내용 문의,아니오,0,0,아니오,암보험,1000429,6,2,1265960,,예,21,10,정책 알림,앱 알림
윤민경,여성,69,교사,대전,이메일,010-9382-8793,미혼,아니오,연립주택,예,예,BMW,2004,예,아니오,예,아니오,예,해지 문의,예,574292601,무한,아니오,정기상품,2559051,20,1,1622290,보험계약대출,예,23,9,결제 기한,이메일
최유진,여성,66,작가,광주,대면,010-4962-8172,미혼,아니오,아파트,예,아니오,,,아니오,예,아니오,예,아니오,기타,아니오,0,0,아니오,암보험,4764173,6,0,6562569,신용대출,예,17,13,할인 혜택,앱 알림
박지안,여성,62,프로그램 개발자,인천,대면,010-6631-2910,결혼,예,아파트,아니오,아니오,,,아니오,아니오,예,아니오,아니오,보장 내용 문의,아니오,0,0,아니오,종신상품,2007116,13,1,1085294,,예,1,4,할인 혜택,전화
임다인,여성,44,변호사,성남,이메일,010-5556-7904,결혼,예,아파트,아니오,아니오,,,예,예,아니오,아니오,아니오,보험료 문의,아니오,0,0,아니오,정기상품,2153117,13,2,0,보험계약대출,아니오,16,12,정책 알림,전화
조지후,남성,55,마케터,수원,온라인,010-4982-9183,결혼,예,빌라,아니오,예,쏘나타,2012,아니오,아니오,아니오,아니오,아니오,보장 내용 문의,예,101637837,무한,예,정기상품,4755654,20,0,1934351,,예,42,5,정책 알림,앱 알림
장지안,여성,61,예술가,대구,이메일,010-2889-3602,결혼,아니오,아파트,아니오,아니오,,,예,예,예,예,아니오,계약 변경 요청,아니오,0,0,아니오,암보험,1651803,15,2,2371507,신용대출,아니오,9,5,신제품 출시,전화
김은우,여성,22,물리치료사,창원,대면,010-3804-7764,미혼,아니오,아파트,예,아니오,,,예,예,예,아니오,예,보장 내용 문의,아니오,0,0,아니오,종신상품,1300582,20,2,8922389,보험계약대출,아니오,18,6,정책 알림,전화
강민재,남성,52,프로그램 개발자,성남,온라인,010-2602-5604,미혼,아니오,오피스텔,예,아니오,,,예,예,예,예,예,계약 변경 요청,아니오,0,0,아니오,암보험,1417647,3,1,0,신용대출,예,17,7,할인 혜택,SMS
박태성,여성,28,바리스타,대구,전화,010-5103-2261,미혼,아니오,연립주택,예,아니오,,,아니오,예,예,아니오,예,기타,아니오,0,0,아니오,정기상품,4448596,9,1,5406068,담보대출,예,42,14,정책 알림,이메일
임시현,여성,63,물리치료사,부산,이메일,010-5626-7780,미혼,아니오,연립주택,예,예,벤츠,2015,아니오,아니오,아니오,예,예,기타,예,173869968,무한,예,종신상품,138339,19,3,2756140,담보대출,예,48,5,결제 기한,이메일
최가은,여성,70,디자이너,대구,대면,010-4735-6625,결혼,아니오,아파트,예,아니오,,,아니오,예,아니오,아니오,예,해지 문의,아니오,0,0,아니오,정기상품,4603106,10,1,0,보험계약대출,예,5,13,정책 알림,이메일
정민영,여성,63,작가,수원,온라인,010-4205-3647,결혼,예,오피스텔,예,아니오,,,아니오,예,예,아니오,예,보장 내용 문의,아니오,0,0,아니오,종신상품,4354782,1,3,0,신용대출,아니오,44,16,신제품 출시,이메일
윤지민,여성,34,디자이너,울산,이메일,010-2199-1427,미혼,아니오,연립주택,아니오,아니오,,,아니오,예,아니오,예,예,계약 변경 요청,아니오,0,0,아니오,암보험,1879164,18,1,3329171,보험계약대출,예,41,9,결제 기한,SMS
